caller_id,recipient,call_date,end_time,duration,cost,reference,currency,type
441216000000,448000000000,16/08/2016,14:21:33,43,0,C5DA9724701EEBBA95CA2CC5617BA93E4,GBP,2
442036000000,44800833833,16/08/2016,14:00:47,244,0,C50B5A7BDB8D68B8512BB14A9D363CAA1,GBP,2
442036000000,448005000000,16/08/2016,14:00:47,3818,0,C7224B928F0FEEC98919B0139E6453BDC,GBP,1
443330000000,448004000000,16/08/2016,14:19:50,13,0,CF3154CFA82653893CA1D77A6627C94B5,GBP,2
442036000000,448007000000,16/08/2016,14:33:32,64,0,CE9BABA57E4CA258BCF66B8FC2E206965,GBP,2
441269000000,448001000000,16/08/2016,14:21:50,31,0,C0FAAB1E6424B20D1625FEAAD5936053E,GBP,1
441827000000,448002000000,16/08/2016,14:32:40,373,0,C639033F0752A937D951A6A2E33EB6910,GBP,1
441761000000,448000000000,16/08/2016,14:33:37,2428,0,C448A51ECB014E5B2D9D96620E2F2397E,GBP,2
442073000000,448088000000,16/08/2016,14:05:29,149,0,C6C4EC9A8C4847E8AD1B1D6CD02491E79,GBP,2
442036000000,448005000000,16/08/2016,14:32:48,693,0,C2BF812F9B32CD37164AB07C69A36111D,GBP,2
441910000000,441734000000,10/08/2016,11:41:59,92,0.006,C417F63E019F412D9D1FD616893F91DA4,GBP,2
441323000000,441733000000,10/08/2016,11:28:35,51,0.003,C3809A00920A3FE178C5A001E1F4298E4,GBP,2
441205000000,441734000000,10/08/2016,11:33:07,144,0.009,C06D0C3047D1D00E12086503F3D513E44,GBP,2
441734000000,441734000000,10/08/2016,13:45:42,119,0.007,CFC787529A8A5194FE67786F3D0C3D3C9,GBP,2
441206000000,441733000000,10/08/2016,13:43:26,215,0.013,CCF8F8F060F408B896C09D953FB1B31FE,GBP,2
441734000000,441734000000,10/08/2016,14:13:26,69,0.004,CE470F63CED59DB8645431A1F52370069,GBP,2
447815000000,447469000000,18/08/2016,17:39:35,7,0.001,C70AD61477498B24B5BCE721315EEC8A1,GBP,2
447558000000,447584000000,18/08/2016,17:39:15,3,0.001,C0035FB9A8AC47E0507CD0C45ECEBC895,GBP,2
447880000000,447584000000,18/08/2016,17:39:19,8,0.002,CF1104BCC550B2BD9E95E0BB05E6C60A8,GBP,1
442039000000,447790000000,18/08/2016,17:16:02,4,0.001,CC1E37EA5EF7D438ECA6B6091BEDC90D9,GBP,2
441499000000,447780000000,18/08/2016,21:08:46,225,0.032,C93FA627F6835DDD992840A4840664643,GBP,2
441495000000,447921000000,18/08/2016,17:13:33,21,0.003,CE3B8D290F5EAB77A65E877D958766B93,GBP,1
442883000000,447779000000,18/08/2016,17:13:36,94,0.014,C4FCA10A1A7BFB2DD9B73C2020EEE2AAB,GBP,2
443330000000,447342000000,18/08/2016,16:49:08,40,0.006,CCAC9E004AB4E8262F40CB6ED17F00C97,GBP,2
442393000000,447558000000,18/08/2016,18:39:26,116,0.017,CDBE901312289577A3D2CCBF844585666,GBP,1
443330000000,447772000000,18/08/2016,17:40:22,38,0.006,C0D993E7204DB763D0A72206E90B370DA,GBP,1
443330000000,447921000000,24/08/2016,13:39:19,142,0.021,C95DFCC73054ECE49A491AD8C46D1C7A6,GBP,1
441549000000,447843000000,24/08/2016,13:40:00,16,0.003,CD0E6B71ED2366C852AB8AEEF9BF6A53C,GBP,2
448453000000,447719000000,24/08/2016,13:40:01,16,0.003,C5EDDE0EC3FC505115A14253EC8A52C9B,GBP,2
441217000000,447523000000,24/08/2016,13:52:43,57,0.009,CB0012ED2D613C2639612488E03136C52,GBP,1
441159000000,447500000000,18/08/2016,17:40:03,817,0.116,C8BBBA411F98737E70303BD58B2C0F146,GBP,2
441418000000,447833000000,18/08/2016,23:09:00,87,0.013,CA322EDDE4E82D89342FE5113EF43DA70,GBP,1
443330000000,447881000000,18/08/2016,18:39:19,31,0.005,C8F3BA9DCA46DEE036F89B95BECACF353,GBP,1
442075000000,447467000000,18/08/2016,16:49:11,88,0.013,CA7A90A09FBCEFBA0321C9A5BC53EA9A5,GBP,1
447876000000,447876000000,18/08/2016,18:38:45,767,0.107,C459B175C59FA58DF34DDF86F2457E23B,GBP,1
441630000000,447717000000,18/08/2016,17:39:59,5,0.001,C7303F6D8C26A9ECA13F073254824B05F,GBP,2
442392000000,447768000000,18/08/2016,16:56:54,136,0.02,CB60DFB23793732277F0D900DA1D306F4,GBP,1
443330000000,447789000000,18/08/2016,16:56:38,2,0.001,C94DA0804E0C09F0D60C069EC0D93EBB5,GBP,2
441388000000,447849000000,24/08/2016,13:53:55,5,0.001,C2265F65C67336B6FF25B4140B7E7D778,GBP,1
